"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23"
1.650,435.79,1.650,570.37,1.650,756.23,1.650,1057.43,1.650,1557.31,1.650,2467.35,1.650,3406.22,1.650,3681.79,1.650,3768.31,1.650,3531.19,1.650,2922.36,1.650,2557.07,1.650,2364.81,1.650,1864.93,1.650,1461.18,1.650,954.90,1.650,557.56,1.650,378.11,1.650,237.12,1.650,147.40,1.650,102.54,1.650,51.27,1.650,32.04
1.700,432.59,1.700,563.96,1.700,762.63,1.700,1051.03,1.700,1560.52,1.700,2473.75,1.700,3447.88,1.700,3665.77,1.700,3755.49,1.700,3524.78,1.700,2922.36,1.700,2557.07,1.700,2384.03,1.700,1864.93,1.700,1457.98,1.700,954.90,1.700,554.35,1.700,384.52,1.700,237.12,1.700,147.40,1.700,102.54,1.700,51.27,1.700,32.04
1.750,435.79,1.750,563.96,1.750,762.63,1.750,1063.84,1.750,1576.54,1.750,2441.71,1.750,3428.65,1.750,3662.57,1.750,3755.49,1.750,3524.78,1.750,2922.36,1.750,2557.07,1.750,2384.03,1.750,1845.70,1.750,1441.96,1.750,954.90,1.750,551.15,1.750,378.11,1.750,237.12,1.750,147.40,1.750,102.54,1.750,51.27,1.750,32.04
1.800,435.79,1.800,570.37,1.800,756.23,1.800,1067.05,1.800,1582.95,1.800,2435.30,1.800,3409.42,1.800,3672.18,1.800,3781.13,1.800,3524.78,1.800,2922.36,1.800,2557.07,1.800,2387.24,1.800,1858.52,1.800,1454.77,1.800,948.49,1.800,557.56,1.800,378.11,1.800,243.53,1.800,150.60,1.800,102.54,1.800,51.27,1.800,32.04
1.850,435.79,1.850,570.37,1.850,753.02,1.850,1063.84,1.850,1563.72,1.850,2460.94,1.850,3403.02,1.850,3704.22,1.850,3787.54,1.850,3540.80,1.850,2922.36,1.850,2557.07,1.850,2374.42,1.850,1864.93,1.850,1461.18,1.850,948.49,1.850,557.56,1.850,378.11,1.850,240.33,1.850,147.40,1.850,102.54,1.850,51.27,1.850,32.04
1.900,432.59,1.900,570.37,1.900,762.63,1.900,1051.03,1.900,1557.31,1.900,2473.75,1.900,3438.26,1.900,3665.77,1.900,3758.70,1.900,3524.78,1.900,2922.36,1.900,2557.07,1.900,2380.83,1.900,1864.93,1.900,1461.18,1.900,954.90,1.900,557.56,1.900,384.52,1.900,237.12,1.900,147.40,1.900,102.54,1.900,51.27,1.900,32.04
1.950,435.79,1.950,563.96,1.950,762.63,1.950,1063.84,1.950,1576.54,1.950,2451.32,1.950,3451.08,1.950,3662.57,1.950,3755.49,1.950,3524.78,1.950,2922.36,1.950,2557.07,1.950,2384.03,1.950,1852.11,1.950,1441.96,1.950,954.90,1.950,551.15,1.950,384.52,1.950,237.12,1.950,147.40,1.950,102.54,1.950,51.27,1.950,32.04
2.000,435.79,2.000,567.17,2.000,762.63,2.000,1067.05,2.000,1582.95,2.000,2441.71,2.000,3409.42,2.000,3662.57,2.000,3755.49,2.000,3524.78,2.000,2922.36,2.000,2557.07,2.000,2384.03,2.000,1858.52,2.000,1451.57,2.000,954.90,2.000,557.56,2.000,378.11,2.000,243.53,2.000,147.40,2.000,102.54,2.000,51.27,2.000,32.04
2.050,435.79,2.050,570.37,2.050,749.82,2.050,1067.05,2.050,1566.93,2.050,2448.12,2.050,3406.22,2.050,3704.22,2.050,3800.35,2.050,3553.62,2.050,2922.36,2.050,2557.07,2.050,2384.03,2.050,1864.93,2.050,1457.98,2.050,942.08,2.050,557.56,2.050,378.11,2.050,243.53,2.050,147.40,2.050,102.54,2.050,51.27,2.050,32.04
2.100,435.79,2.100,570.37,2.100,759.43,2.100,1057.43,2.100,1557.31,2.100,2467.35,2.100,3419.04,2.100,3675.38,2.100,3765.11,2.100,3527.98,2.100,2922.36,2.100,2557.07,2.100,2371.22,2.100,1864.93,2.100,1461.18,2.100,954.90,2.100,557.56,2.100,378.11,2.100,237.12,2.100,147.40,2.100,102.54,2.100,51.27,2.100,32.04
2.150,435.79,2.150,563.96,2.150,762.63,2.150,1054.23,2.150,1566.93,2.150,2467.35,2.150,3447.88,2.150,3665.77,2.150,3755.49,2.150,3524.78,2.150,2922.36,2.150,2557.07,2.150,2384.03,2.150,1861.72,2.150,1451.57,2.150,954.90,2.150,551.15,2.150,384.52,2.150,237.12,2.150,147.40,2.150,102.54,2.150,51.27,2.150,32.04
