"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23","Time (s) Run #24","Light Intensity (lx) Run #24","Time (s) Run #25","Light Intensity (lx) Run #25"
2.100,519.10,2.100,1038.21,2.100,1294.56,2.100,1300.96,2.100,1262.51,2.100,1211.24,2.100,1182.40,2.100,1134.34,2.100,1124.73,2.100,1076.66,2.100,1031.80,2.100,980.53,2.100,922.85,2.100,852.36,2.100,826.72,2.100,769.04,2.100,743.41,2.100,640.87,2.100,583.19,2.100,487.06,2.100,403.75,2.100,365.30,2.100,320.43,2.100,230.71,2.100,166.63
2.150,512.70,2.150,1035.00,2.150,1294.56,2.150,1300.96,2.150,1262.51,2.150,1211.24,2.150,1182.40,2.150,1153.56,2.150,1108.70,2.150,1076.66,2.150,1031.80,2.150,974.12,2.150,929.26,2.150,871.58,2.150,833.13,2.150,772.25,2.150,730.59,2.150,644.07,2.150,576.78,2.150,487.06,2.150,403.75,2.150,358.89,2.150,320.43,2.150,230.71,2.150,173.03
2.200,512.70,2.200,1038.21,2.200,1294.56,2.200,1300.96,2.200,1262.51,2.200,1211.24,2.200,1179.20,2.200,1159.97,2.200,1127.93,2.200,1076.66,2.200,1012.57,2.200,948.49,2.200,929.26,2.200,877.99,2.200,839.54,2.200,788.27,2.200,717.77,2.200,660.10,2.200,563.96,2.200,471.04,2.200,416.56,2.200,352.48,2.200,314.03,2.200,237.12,2.200,173.03
2.250,512.70,2.250,1038.21,2.250,1294.56,2.250,1300.96,2.250,1262.51,2.250,1211.24,2.250,1179.20,2.250,1159.97,2.250,1127.93,2.250,1076.66,2.250,1031.80,2.250,974.12,2.250,913.24,2.250,877.99,2.250,817.11,2.250,788.27,2.250,737.00,2.250,660.10,2.250,573.58,2.250,467.83,2.250,416.56,2.250,355.68,2.250,314.03,2.250,237.12,2.250,166.63
2.300,512.70,2.300,1038.21,2.300,1294.56,2.300,1300.96,2.300,1262.51,2.300,1211.24,2.300,1182.40,2.300,1159.97,2.300,1127.93,2.300,1057.43,2.300,1031.80,2.300,980.53,2.300,903.63,2.300,874.79,2.300,807.50,2.300,781.86,2.300,743.41,2.300,650.48,2.300,583.19,2.300,480.65,2.300,410.16,2.300,365.30,2.300,320.43,2.300,237.12,2.300,166.63
2.350,515.90,2.350,1038.21,2.350,1294.56,2.350,1300.96,2.350,1262.51,2.350,1211.24,2.350,1179.20,2.350,1137.54,2.350,1121.52,2.350,1076.66,2.350,1031.80,2.350,980.53,2.350,922.85,2.350,852.36,2.350,826.72,2.350,762.63,2.350,743.41,2.350,640.87,2.350,583.19,2.350,487.06,2.350,403.75,2.350,365.30,2.350,320.43,2.350,230.71,2.350,173.03
2.400,512.70,2.400,1038.21,2.400,1294.56,2.400,1300.96,2.400,1262.51,2.400,1211.24,2.400,1179.20,2.400,1153.56,2.400,1115.11,2.400,1076.66,2.400,1031.80,2.400,967.71,2.400,929.26,2.400,871.58,2.400,839.54,2.400,775.45,2.400,727.39,2.400,647.28,2.400,573.58,2.400,480.65,2.400,403.75,2.400,358.89,2.400,317.23,2.400,230.71,2.400,173.03
2.450,512.70,2.450,1038.21,2.450,1294.56,2.450,1300.96,2.450,1262.51,2.450,1211.24,2.450,1182.40,2.450,1159.97,2.450,1127.93,2.450,1076.66,2.450,1015.78,2.450,951.69,2.450,929.26,2.450,877.99,2.450,839.54,2.450,788.27,2.450,717.77,2.450,660.10,2.450,563.96,2.450,471.04,2.450,416.56,2.450,352.48,2.450,314.03,2.450,237.12,2.450,169.83
2.500,512.70,2.500,1038.21,2.500,1294.56,2.500,1300.96,2.500,1262.51,2.500,1211.24,2.500,1182.40,2.500,1159.97,2.500,1127.93,2.500,1073.46,2.500,1031.80,2.500,977.33,2.500,906.83,2.500,877.99,2.500,813.90,2.500,788.27,2.500,740.20,2.500,660.10,2.500,576.78,2.500,467.83,2.500,416.56,2.500,358.89,2.500,314.03,2.500,237.12,2.500,166.63
2.550,515.90,2.550,1038.21,2.550,1294.56,2.550,1300.96,2.550,1262.51,2.550,1211.24,2.550,1182.40,2.550,1153.56,2.550,1127.93,2.550,1063.84,2.550,1031.80,2.550,980.53,2.550,910.03,2.550,868.38,2.550,807.50,2.550,775.45,2.550,743.41,2.550,647.28,2.550,583.19,2.550,480.65,2.550,410.16,2.550,365.30,2.550,320.43,2.550,230.71,2.550,166.63
2.600,512.70,2.600,1038.21,2.600,1294.56,2.600,1300.96,2.600,1262.51,2.600,1211.24,2.600,1182.40,2.600,1143.95,2.600,1111.91,2.600,1076.66,2.600,1031.80,2.600,980.53,2.600,929.26,2.600,852.36,2.600,833.13,2.600,762.63,2.600,743.41,2.600,637.66,2.600,583.19,2.600,487.06,2.600,403.75,2.600,365.30,2.600,320.43,2.600,230.71,2.600,173.03
2.650,512.70,2.650,1038.21,2.650,1294.56,2.650,1300.96,2.650,1262.51,2.650,1211.24,2.650,1182.40,2.650,1156.77,2.650,1121.52,2.650,1076.66,2.650,1025.39,2.650,961.30,2.650,929.26,2.650,874.79,2.650,839.54,2.650,781.86,2.650,724.18,2.650,653.69,2.650,570.37,2.650,477.45,2.650,403.75,2.650,355.68,2.650,314.03,2.650,230.71,2.650,173.03
