"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23","Time (s) Run #24","Light Intensity (lx) Run #24","Time (s) Run #25","Light Intensity (lx) Run #25"
1.600,480.65,1.600,993.35,1.600,1224.06,1.600,1236.88,1.600,1198.43,1.600,1143.95,1.600,1111.91,1.600,1063.84,1.600,1070.25,1.600,1018.98,1.600,961.30,1.600,922.85,1.600,865.17,1.600,807.50,1.600,769.04,1.600,749.82,1.600,704.96,1.600,621.64,1.600,531.92,1.600,442.20,1.600,387.73,1.600,333.25,1.600,294.80,1.600,217.90,1.600,157.01
1.650,474.24,1.650,977.33,1.650,1204.83,1.650,1236.88,1.650,1179.20,1.650,1147.16,1.650,1083.07,1.650,1070.25,1.650,1076.66,1.650,1025.39,1.650,974.12,1.650,929.26,1.650,845.95,1.650,801.09,1.650,762.63,1.650,730.59,1.650,685.73,1.650,618.44,1.650,551.15,1.650,445.40,1.650,384.52,1.650,333.25,1.650,294.80,1.650,217.90,1.650,160.22
1.700,480.65,1.700,983.73,1.700,1214.45,1.700,1233.67,1.700,1169.59,1.700,1140.75,1.700,1102.29,1.700,1095.89,1.700,1051.03,1.700,999.76,1.700,970.92,1.700,900.42,1.700,845.95,1.700,801.09,1.700,762.63,1.700,724.18,1.700,679.32,1.700,605.62,1.700,551.15,1.700,461.43,1.700,384.52,1.700,336.46,1.700,301.21,1.700,217.90,1.700,160.22
1.750,480.65,1.750,993.35,1.750,1224.06,1.750,1198.43,1.750,1198.43,1.750,1108.70,1.750,1121.52,1.750,1095.89,1.750,1038.21,1.750,986.94,1.750,945.28,1.750,890.81,1.750,871.58,1.750,820.31,1.750,788.27,1.750,727.39,1.750,679.32,1.750,602.42,1.750,538.33,1.750,448.61,1.750,384.52,1.750,346.07,1.750,301.21,1.750,217.90,1.750,160.22
1.800,480.65,1.800,993.35,1.800,1224.06,1.800,1227.26,1.800,1198.43,1.800,1124.73,1.800,1121.52,1.800,1079.86,1.800,1060.64,1.800,1012.57,1.800,942.08,1.800,906.83,1.800,877.99,1.800,829.93,1.800,788.27,1.800,749.82,1.800,701.75,1.800,612.03,1.800,531.92,1.800,442.20,1.800,390.93,1.800,336.46,1.800,294.80,1.800,217.90,1.800,160.22
1.850,480.65,1.850,993.35,1.850,1224.06,1.850,1236.88,1.850,1198.43,1.850,1147.16,1.850,1102.29,1.850,1057.43,1.850,1070.25,1.850,1025.39,1.850,967.71,1.850,922.85,1.850,858.76,1.850,807.50,1.850,769.04,1.850,740.20,1.850,704.96,1.850,628.05,1.850,531.92,1.850,442.20,1.850,384.52,1.850,333.25,1.850,294.80,1.850,217.90,1.850,157.01
1.900,474.24,1.900,970.92,1.900,1198.43,1.900,1236.88,1.900,1169.59,1.900,1147.16,1.900,1083.07,1.900,1079.86,1.900,1076.66,1.900,1025.39,1.900,974.12,1.900,926.06,1.900,845.95,1.900,801.09,1.900,762.63,1.900,727.39,1.900,685.73,1.900,615.23,1.900,551.15,1.900,448.61,1.900,384.52,1.900,333.25,1.900,294.80,1.900,221.10,1.900,160.22
1.950,480.65,1.950,986.94,1.950,1217.65,1.950,1217.65,1.950,1179.20,1.950,1131.13,1.950,1108.70,1.950,1095.89,1.950,1044.62,1.950,993.35,1.950,961.30,1.950,897.22,1.950,849.15,1.950,801.09,1.950,762.63,1.950,724.18,1.950,679.32,1.950,605.62,1.950,547.94,1.950,458.22,1.950,384.52,1.950,339.66,1.950,301.21,1.950,217.90,1.950,160.22
2.000,480.65,2.000,993.35,2.000,1224.06,2.000,1198.43,2.000,1198.43,2.000,1108.70,2.000,1121.52,2.000,1095.89,2.000,1038.21,2.000,986.94,2.000,942.08,2.000,890.81,2.000,874.79,2.000,826.72,2.000,788.27,2.000,733.80,2.000,679.32,2.000,602.42,2.000,538.33,2.000,448.61,2.000,384.52,2.000,342.86,2.000,301.21,2.000,217.90,2.000,160.22
2.050,480.65,2.050,993.35,2.050,1224.06,2.050,1230.47,2.050,1201.63,2.050,1131.13,2.050,1121.52,2.050,1073.46,2.050,1063.84,2.050,1018.98,2.050,942.08,2.050,913.24,2.050,877.99,2.050,823.52,2.050,781.86,2.050,749.82,2.050,701.75,2.050,615.23,2.050,531.92,2.050,442.20,2.050,397.34,2.050,333.25,2.050,294.80,2.050,217.90,2.050,160.22
