"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13"
3.000,230.71,3.000,211.49,3.000,198.67,3.000,179.44,3.000,173.03,3.000,147.40,3.000,134.58,3.000,121.77,3.000,108.95,3.000,102.54,3.000,89.72,3.000,64.09,3.000,57.68
3.050,230.71,3.050,205.08,3.050,198.67,3.050,179.44,3.050,166.63,3.050,147.40,3.050,134.58,3.050,128.17,3.050,108.95,3.050,102.54,3.050,89.72,3.050,70.50,3.050,57.68
3.100,224.30,3.100,205.08,3.100,192.26,3.100,185.85,3.100,166.63,3.100,147.40,3.100,140.99,3.100,121.77,3.100,115.36,3.100,102.54,3.100,83.31,3.100,67.29,3.100,57.68
3.150,224.30,3.150,211.49,3.150,192.26,3.150,185.85,3.150,173.03,3.150,153.81,3.150,140.99,3.150,121.77,3.150,115.36,3.150,102.54,3.150,83.31,3.150,64.09,3.150,57.68
3.200,230.71,3.200,211.49,3.200,195.47,3.200,179.44,3.200,173.03,3.200,153.81,3.200,134.58,3.200,121.77,3.200,108.95,3.200,102.54,3.200,83.31,3.200,64.09,3.200,57.68
3.250,230.71,3.250,211.49,3.250,198.67,3.250,179.44,3.250,173.03,3.250,147.40,3.250,134.58,3.250,121.77,3.250,108.95,3.250,102.54,3.250,89.72,3.250,64.09,3.250,57.68
3.300,230.71,3.300,205.08,3.300,198.67,3.300,179.44,3.300,166.63,3.300,147.40,3.300,134.58,3.300,128.17,3.300,108.95,3.300,102.54,3.300,86.52,3.300,70.50,3.300,57.68
3.350,224.30,3.350,205.08,3.350,192.26,3.350,185.85,3.350,166.63,,,3.350,140.99,3.350,121.77,3.350,115.36,3.350,102.54,3.350,83.31,3.350,64.09,3.350,57.68
3.400,224.30,,,3.400,192.26,3.400,185.85,3.400,173.03,,,3.400,140.99,3.400,121.77,3.400,115.36,3.400,102.54,3.400,83.31,3.400,64.09,3.400,57.68
,,,,3.450,198.67,3.450,179.44,3.450,173.03,,,3.450,134.58,3.450,121.77,3.450,108.95,3.450,102.54,3.450,83.31,3.450,64.09,3.450,57.68
,,,,3.500,198.67,3.500,179.44,3.500,173.03,,,3.500,134.58,3.500,121.77,3.500,108.95,3.500,102.54,3.500,89.72,3.500,64.09,3.500,57.68
,,,,,,,,,,,,3.550,134.58,,,3.550,108.95,,,3.550,83.31,3.550,70.50,3.550,57.68
,,,,,,,,,,,,,,,,,,,,3.600,83.31,,,,
