"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13"
2.800,224.30,2.800,205.08,2.800,192.26,2.800,179.44,2.800,166.63,2.800,147.40,2.800,134.58,2.800,121.77,2.800,108.95,2.800,96.13,2.800,83.31,2.800,64.09,2.800,57.68
2.850,217.90,2.850,205.08,2.850,192.26,2.850,179.44,2.850,166.63,2.850,147.40,2.850,134.58,2.850,121.77,2.850,108.95,2.850,102.54,2.850,83.31,2.850,64.09,2.850,57.68
2.900,217.90,2.900,205.08,2.900,192.26,2.900,179.44,2.900,166.63,2.900,147.40,2.900,134.58,2.900,121.77,2.900,108.95,2.900,102.54,2.900,83.31,2.900,64.09,2.900,57.68
2.950,217.90,2.950,208.28,2.950,192.26,2.950,179.44,2.950,166.63,2.950,147.40,2.950,134.58,2.950,115.36,2.950,108.95,2.950,99.33,2.950,83.31,2.950,64.09,2.950,54.47
3.000,224.30,3.000,205.08,3.000,192.26,3.000,179.44,3.000,166.63,3.000,147.40,3.000,134.58,3.000,121.77,3.000,108.95,3.000,96.13,3.000,83.31,3.000,64.09,3.000,51.27
3.050,221.10,3.050,205.08,3.050,192.26,3.050,179.44,3.050,166.63,3.050,147.40,3.050,134.58,3.050,121.77,3.050,108.95,3.050,99.33,3.050,83.31,3.050,64.09,3.050,57.68
3.100,217.90,3.100,205.08,3.100,192.26,3.100,179.44,3.100,166.63,3.100,147.40,3.100,134.58,3.100,121.77,3.100,108.95,3.100,102.54,3.100,83.31,3.100,64.09,3.100,57.68
3.150,217.90,3.150,205.08,3.150,192.26,3.150,179.44,3.150,166.63,3.150,147.40,3.150,134.58,3.150,121.77,3.150,108.95,3.150,102.54,3.150,83.31,3.150,64.09,3.150,57.68
3.200,217.90,3.200,211.49,3.200,192.26,3.200,179.44,3.200,166.63,3.200,147.40,3.200,134.58,3.200,115.36,3.200,108.95,3.200,99.33,3.200,83.31,,,3.200,51.27
3.250,224.30,3.250,205.08,3.250,192.26,3.250,179.44,3.250,166.63,3.250,147.40,3.250,134.58,3.250,121.77,3.250,108.95,3.250,96.13,3.250,83.31,,,3.250,51.27
3.300,221.10,3.300,205.08,3.300,192.26,3.300,179.44,3.300,166.63,3.300,147.40,3.300,131.38,3.300,121.77,3.300,108.95,3.300,99.33,3.300,83.31,,,3.300,57.68
3.350,217.90,3.350,205.08,3.350,192.26,3.350,179.44,3.350,166.63,3.350,147.40,3.350,134.58,3.350,121.77,3.350,108.95,3.350,102.54,3.350,83.31,,,3.350,57.68
3.400,217.90,3.400,205.08,3.400,192.26,,,3.400,166.63,3.400,147.40,3.400,134.58,3.400,121.77,3.400,108.95,3.400,102.54,3.400,83.31,,,3.400,57.68
3.450,217.90,,,3.450,192.26,,,3.450,166.63,3.450,147.40,3.450,134.58,3.450,115.36,3.450,108.95,3.450,96.13,3.450,83.31,,,3.450,51.27
3.500,224.30,,,,,,,,,3.500,147.40,3.500,134.58,3.500,121.77,3.500,108.95,3.500,96.13,,,,,3.500,54.47
,,,,,,,,,,,,,,3.550,121.77,3.550,108.95,,,,,,,3.550,57.68
,,,,,,,,,,,,,,3.600,121.77,,,,,,,,,3.600,57.68
,,,,,,,,,,,,,,,,,,,,,,,,3.650,57.68
