"Time (s) Run #1","Light Intensity (lx) Run #1","Time (s) Run #2","Light Intensity (lx) Run #2","Time (s) Run #3","Light Intensity (lx) Run #3","Time (s) Run #4","Light Intensity (lx) Run #4","Time (s) Run #5","Light Intensity (lx) Run #5","Time (s) Run #6","Light Intensity (lx) Run #6","Time (s) Run #7","Light Intensity (lx) Run #7","Time (s) Run #8","Light Intensity (lx) Run #8","Time (s) Run #9","Light Intensity (lx) Run #9","Time (s) Run #10","Light Intensity (lx) Run #10","Time (s) Run #11","Light Intensity (lx) Run #11","Time (s) Run #12","Light Intensity (lx) Run #12","Time (s) Run #13","Light Intensity (lx) Run #13","Time (s) Run #14","Light Intensity (lx) Run #14","Time (s) Run #15","Light Intensity (lx) Run #15","Time (s) Run #16","Light Intensity (lx) Run #16","Time (s) Run #17","Light Intensity (lx) Run #17","Time (s) Run #18","Light Intensity (lx) Run #18","Time (s) Run #19","Light Intensity (lx) Run #19","Time (s) Run #20","Light Intensity (lx) Run #20","Time (s) Run #21","Light Intensity (lx) Run #21","Time (s) Run #22","Light Intensity (lx) Run #22","Time (s) Run #23","Light Intensity (lx) Run #23","Time (s) Run #24","Light Intensity (lx) Run #24","Time (s) Run #25","Light Intensity (lx) Run #25"
1.600,547.94,1.600,1204.83,1.600,1480.41,1.600,1477.20,1.600,1416.32,1.600,1365.05,1.600,1352.23,1.600,1336.21,1.600,1307.37,1.600,1268.92,1.600,1224.06,1.600,1166.38,1.600,1086.27,1.600,1038.21,1.600,974.12,1.600,903.63,1.600,858.76,1.600,749.82,1.600,644.07,1.600,528.72,1.600,461.43,1.600,403.75,1.600,365.30,1.600,256.35,1.600,185.85
1.650,538.33,1.650,1172.79,1.650,1480.41,1.650,1467.59,1.650,1445.16,1.650,1365.05,1.650,1371.46,1.650,1333.01,1.650,1307.37,1.650,1268.92,1.650,1224.06,1.650,1150.36,1.650,1092.68,1.650,1018.98,1.650,970.92,1.650,897.22,1.650,858.76,1.650,746.61,1.650,653.69,1.650,538.33,1.650,464.63,1.650,397.34,1.650,358.89,1.650,256.35,1.650,192.26
1.700,538.33,1.700,1166.38,1.700,1502.84,1.700,1467.59,1.700,1435.55,1.700,1390.69,1.700,1352.23,1.700,1333.01,1.700,1333.01,1.700,1291.35,1.700,1224.06,1.700,1166.38,1.700,1102.29,1.700,1031.80,1.700,948.49,1.700,916.44,1.700,858.76,1.700,730.59,1.700,660.10,1.700,541.53,1.700,455.02,1.700,400.54,1.700,352.48,1.700,262.76,1.700,185.85
1.750,538.33,1.750,1166.38,1.750,1525.27,1.750,1480.41,1.750,1416.32,1.750,1387.48,1.750,1352.23,1.750,1333.01,1.750,1313.78,1.750,1272.13,1.750,1224.06,1.750,1166.38,1.750,1102.29,1.750,1038.21,1.750,967.71,1.750,922.85,1.750,833.13,1.750,749.82,1.750,647.28,1.750,531.92,1.750,448.61,1.750,410.16,1.750,352.48,1.750,262.76,1.750,185.85
1.800,551.15,1.800,1195.22,1.800,1493.23,1.800,1506.04,1.800,1416.32,1.800,1368.26,1.800,1352.23,1.800,1352.23,1.800,1307.37,1.800,1268.92,1.800,1220.86,1.800,1166.38,1.800,1102.29,1.800,1038.21,1.800,974.12,1.800,919.65,1.800,849.15,1.800,749.82,1.800,634.46,1.800,525.51,1.800,461.43,1.800,410.16,1.800,362.09,1.800,256.35,1.800,185.85
1.850,544.74,1.850,1198.43,1.850,1480.41,1.850,1474.00,1.850,1416.32,1.850,1365.05,1.850,1352.23,1.850,1333.01,1.850,1307.37,1.850,1268.92,1.850,1220.86,1.850,1159.97,1.850,1079.86,1.850,1035.00,1.850,974.12,1.850,897.22,1.850,858.76,1.850,749.82,1.850,647.28,1.850,531.92,1.850,464.63,1.850,397.34,1.850,365.30,1.850,256.35,1.850,185.85
1.900,538.33,1.900,1169.59,1.900,1480.41,1.900,1467.59,1.900,1451.57,1.900,1365.05,1.900,1365.05,1.900,1333.01,1.900,1307.37,1.900,1268.92,1.900,1220.86,1.900,1156.77,1.900,1095.89,1.900,1022.19,1.900,961.30,1.900,906.83,1.900,858.76,1.900,740.20,1.900,656.89,1.900,538.33,1.900,467.83,1.900,397.34,1.900,358.89,1.900,262.76,1.900,189.06
1.950,538.33,1.950,1166.38,1.950,1512.45,1.950,1467.59,1.950,1429.14,1.950,1397.09,1.950,1352.23,1.950,1333.01,1.950,1326.60,1.950,1284.94,1.950,1220.86,1.950,1166.38,1.950,1102.29,1.950,1038.21,1.950,951.69,1.950,916.44,1.950,855.56,1.950,730.59,1.950,660.10,1.950,541.53,1.950,451.81,1.950,403.75,1.950,352.48,1.950,262.76,1.950,185.85
2.000,544.74,2.000,1169.59,2.000,1525.27,2.000,1493.23,2.000,1416.32,2.000,1381.07,2.000,1352.23,2.000,1333.01,2.000,1313.78,2.000,1272.13,2.000,1224.06,2.000,1166.38,2.000,1102.29,2.000,1038.21,2.000,974.12,2.000,919.65,2.000,833.13,2.000,749.82,2.000,640.87,2.000,528.72,2.000,448.61,2.000,410.16,2.000,352.48,2.000,262.76,2.000,185.85
2.050,551.15,2.050,1198.43,2.050,1486.82,2.050,1496.43,2.050,1416.32,2.050,1365.05,2.050,1352.23,2.050,1345.83,2.050,1307.37,2.050,1268.92,2.050,1224.06,2.050,1166.38,2.050,1102.29,2.050,1038.21,2.050,974.12,2.050,919.65,2.050,852.36,2.050,749.82,2.050,634.46,2.050,525.51,2.050,461.43,2.050,410.16,2.050,365.30,2.050,256.35,2.050,185.85
2.100,541.53,2.100,1185.61,2.100,1480.41,2.100,1474.00,2.100,1416.32,2.100,1365.05,2.100,1361.85,2.100,1333.01,2.100,1307.37,2.100,1268.92,2.100,1224.06,2.100,1150.36,2.100,1079.86,2.100,1028.59,2.100,974.12,2.100,894.01,2.100,858.76,2.100,749.82,2.100,653.69,2.100,538.33,2.100,464.63,2.100,397.34,2.100,365.30,2.100,256.35,2.100,189.06
2.150,538.33,2.150,1166.38,2.150,1480.41,2.150,1467.59,2.150,1454.77,2.150,1365.05,2.150,1358.64,2.150,1333.01,2.150,1313.78,2.150,1278.53,2.150,1224.06,2.150,1159.97,2.150,1095.89,2.150,1025.39,2.150,954.90,2.150,910.03,2.150,858.76,2.150,737.00,2.150,660.10,2.150,538.33,2.150,461.43,2.150,397.34,2.150,355.68,2.150,262.76,2.150,185.85
2.200,538.33,2.200,1166.38,2.200,1518.86,2.200,1467.59,2.200,1422.73,2.200,1403.50,2.200,1352.23,2.200,1333.01,2.200,1320.19,2.200,1278.53,2.200,1224.06,2.200,1166.38,2.200,1102.29,2.200,1038.21,2.200,958.10,2.200,916.44,2.200,849.15,2.200,737.00,2.200,660.10,2.200,541.53,2.200,448.61,2.200,403.75,2.200,352.48,2.200,262.76,2.200,185.85
2.250,547.94,2.250,1179.20,2.250,1518.86,2.250,1502.84,2.250,1416.32,2.250,1374.66,2.250,1352.23,2.250,1339.42,2.250,1310.58,2.250,1268.92,2.250,1224.06,2.250,1166.38,2.250,1102.29,2.250,1038.21,2.250,974.12,2.250,922.85,2.250,833.13,2.250,749.82,2.250,640.87,2.250,525.51,2.250,455.02,2.250,410.16,2.250,355.68,2.250,262.76,2.250,185.85
2.300,551.15,2.300,1201.63,2.300,1483.61,2.300,1486.82,2.300,1416.32,2.300,1365.05,2.300,1352.23,2.300,1342.62,2.300,1307.37,2.300,1268.92,2.300,1220.86,2.300,1166.38,2.300,1099.09,2.300,1038.21,2.300,974.12,2.300,913.24,2.300,852.36,2.300,749.82,2.300,634.46,2.300,525.51,2.300,461.43,2.300,403.75,2.300,365.30,2.300,256.35,2.300,185.85
2.350,538.33,2.350,1179.20,2.350,1480.41,2.350,1470.79,2.350,1429.14,2.350,1365.05,2.350,1371.46,2.350,1333.01,2.350,1307.37,2.350,1268.92,2.350,1224.06,2.350,1143.95,2.350,1083.07,2.350,1018.98,2.350,974.12,2.350,890.81,2.350,858.76,2.350,749.82,2.350,653.69,2.350,538.33,2.350,464.63,2.350,397.34,2.350,365.30,2.350,256.35,2.350,192.26
2.400,538.33,2.400,1166.38,2.400,1483.61,2.400,1467.59,2.400,1451.57,2.400,1374.66,2.400,1358.64,2.400,1333.01,2.400,1326.60,2.400,1288.15,2.400,1220.86,2.400,1166.38,2.400,1095.89,2.400,1031.80,2.400,948.49,2.400,916.44,2.400,858.76,2.400,730.59,2.400,656.89,2.400,541.53,2.400,458.22,2.400,397.34,2.400,352.48,2.400,262.76,2.400,185.85
2.450,538.33,2.450,1166.38,2.450,1522.06,2.450,1467.59,2.450,1419.53,2.450,1400.30,2.450,1352.23,2.450,1333.01,2.450,1316.99,2.450,1275.33,2.450,1220.86,2.450,1166.38,2.450,1102.29,2.450,1038.21,2.450,964.51,2.450,916.44,2.450,842.74,2.450,743.41,2.450,656.89,2.450,541.53,2.450,448.61,2.450,410.16,2.450,352.48,2.450,262.76,2.450,185.85
2.500,551.15,2.500,1188.81,2.500,1509.25,2.500,1506.04,2.500,1416.32,2.500,1371.46,2.500,1352.23,2.500,1349.03,2.500,1307.37,2.500,1268.92,2.500,1220.86,2.500,1166.38,2.500,1102.29,2.500,1038.21,2.500,974.12,2.500,922.85,2.500,839.54,2.500,749.82,2.500,637.66,2.500,525.51,2.500,458.22,2.500,410.16,2.500,358.89,2.500,262.76,2.500,185.85
